name,price,status,shipping,free_returns,itemssold
Samsung BET-H Series 75 Inch Crystal 4K UHD Pro Commercial LED TV,147500,Brand New,0,False,
"Vintage ORION TV1326 13"" Inch CRT TV Retro Gaming Television No Remote Gr.Cond!",9029,Pre-Owned,0,False,
"Vtg Sony Trinitron 27"" CRT TV Retro Gaming Television + Remote *TESTED* SURROUND",28999,Pre-Owned,30253,False,
Sony Trinitron KV-13FM13 Gaming Television Flatscreen WEGA 13” Color CRT Vintage,14890,Pre-Owned,10020,False,
"vintage JVC 20"" CRT TV Color Tube Television Retro Gaming RCA AV Ports AV 209-20",15000,Pre-Owned,,False,
"Sony KV-13FM12 Trinitron 13"" CRT TV w/ Remote Control Video Gaming Game Retro",19995,Pre-Owned,0,False,
"SYLVANIA 13"" CRT TV DVD combo Retro Gaming Monitor, tested minty, working remote",7900,Pre-Owned,2803,False,
"Sony Wega Trinitron 36"" Flat Screen TV //Retro Gaming!!",23375,Pre-Owned,,True,0
"Supersonic 16"" Portable Rechargeable LED TV with HDMI & FM Radio",19999,Brand New,0,False,0
"Sylvania 6513VD 13"" CRT TV/DVD/Retro Gaming Combo Television-No Remote",5999,Pre-Owned,9434,False,
Sony KD75X85J X85J 75 Inch Smart LED TV with Kratos Home Studio TV Stand,199999,Brand New,0,False,0
"Samsung 43"" LED TV Class 4K 2160p Ultra HD Smart HDTV UN43TU700DFXZA",46459,Brand New,0,True,0
"Samsung AU8000 55"" 4K Ultra HD HDR Smart LED TV - 2021 Model *UN55AU8000",57760,New (Other),0,False,0
Sony Trinitron 27” CRT TV Model KV-27FV300,34000,Pre-Owned,,False,0
"eXuby Small Flat Screen TV - 13.3"" LED TV - Perfect for Kitchen, Garage, RV, etc",12999,Pre-Owned,0,False,0
New ListingSamsung UN43TU7000 Series 43-Inch Crystal UHD 4K Smart Led TV Smart TV ,40000,Brand New,0,False,
"RARE Vintage Emerson ECR136 13"" CRT TV Emulated Wood Panel Color Television ",9900,Pre-Owned,9886,False,
"LG 70 Series 75"" 4K Ultra HD HDR Smart LED TV",109699,Brand New,0,False,0
"SYLVANIA 13"" CRT TV DVD Retro CRT Gaming Combo Tube Television - TESTED & WORKS!",5000,Pre-Owned,9200,False,
"Sceptre 43"" Class 1080P FHD LED TV X435BV-F",28511,Brand New,0,False,
"Samsung UN50TU7000 50"" 4K Ultra HD Smart LED TV (2020 Model) - Open Box",50000,New (Other),0,True,0
"Samsung UN55TU7000 55"" 4K Ultra HD Smart LED TV (2020 Model) - Open Box",55000,New (Other),0,True,0
"Vintage GE 9.5” or 9"" Spacemaker RETRO GAMING CRT TV w9GP110 No Remote. 1996",6000,Pre-Owned,3300,False,0
"New ListingJensen JTV1917DVDC 19"" Lcd Tv With Dvd Player",26979,Brand New,0,True,
"Sony X85J 43"" 4K Ultra HD HDR Android Smart LED TV - 2021 Model",64800,Brand New,0,False,0
"Toshiba 14"" Retro Gaming Color CRT TV Television / VCR Combo Model MV14FL4",19999,Pre-Owned,8000,False,
"Vintage ORION TV1326 13"" Inch CRT TV Retro Gaming Television with Remote!",4999,Pre-Owned,4506,False,
"Symphonic ST420FF 20"" CRT TV Retro Gaming Television w/ Remote - WORKS GREAT!",18000,Pre-Owned,12585,False,
"Good Used RCA 27"" CRT TV  F27252GY Gaming Gamer Television Analog with Remote",5999,Pre-Owned,,False,
"Sony X90J 75"" HDR 4K Ultra HD Android Smart LED TV - 2021 Model",159800,Brand New,0,False,0
Disney Mickey Mouse CRT Television with Stereo Speaker Ears DT1350-C & Remote ,9999,Pre-Owned,10820,True,
"Sylvania 9"" Tube TV VCR Combo CRT Television Remote 6309CA Retro Gaming See Demo",14998,Pre-Owned,4150,False,
"Large 19"" Pink Disney Princess TV Retro Gaming CRT Television Remote DT-1900-P-A",22079,Pre-Owned,7500,False,
"TCL 40"" Full HD Roku Smart LED TV - 40S325",29999,Brand New,0,False,1001
