name,price,status,shipping,free_returns,itemssold
Ethan Allen 18th Century Mahogany Chippendale Style Oval Coffee Table,79500,,,False,
Vintage Mid Century Modern Coffee Table with Cabinet on rollers custom made,163590,,,False,
Vintage Coffee Table MCM Wood with Drawers and Formica Top 41.5” Long,15998,Pre-Owned,4430,False,
Tessellated Enrique Garcel Coffee Table ~ Mid-Century Hollywood Glam,70650,,,False,
Baker Barbara Barry Coffee Table ,125000,,,False,
"AMERICAN MID-CENTURY MODERN ""ESPERANTO"" COFFEE TABLE by DREXEL Local Pickup Only",35000,,,False,0
Vtg Country French Louis XV Provincial Solid Wood Parquetry Inlay Coffee Table,67500,,,False,0
Palecek Oval Rattan 4 Drawer Coffee Table,89500,,,False,
 Coffee Table New,149999,Brand New,0,False,
New ListingAntique Mahogany Tray Table Coffee Table,99999,Pre-Owned,50000,True,
Stunning Wrought Iron Glass Top Cocktail Scroll Coffee Table Vintage Pineapple ,24000,Pre-Owned,,False,
Vtg Mid Century Coffee Table Surfboard Solid Wood Retro Geometric Inlay MCM,115000,Pre-Owned,,False,
Neo-Classical Style Quality Round Brass & Glass Coffee Table,149500,,,False,
Vintage Hollywood Regency 3 Piece Coffee Table & 2 End Tables/Side Tables/2 Tier,59999,,,False,0
Drexel Heritage Et Cetera Chinoiserie & Burl Wood Square Glass Top Coffee Table,69500,Pre-Owned,,False,
Faux Bamboo Georgian Style Brown Lacquer Scallop Tray Top Coffee Cocktail Table,79500,Pre-Owned,,False,
Vintage Mid Century Modern Lane Iconic Kidney Shaped Walnut & Glass Coffee Table,120000,Pre-Owned,,False,
Baker Furniture Solid Mahogany Oval Top Pedestal Cocktail Table,79900,Pre-Owned,,False,
Vintage Bellows studded Maple Coffee Table Mid Century Modern French Rare 1950s,7600,Pre-Owned,,False,
Vintage Mersman 7440 Pedestal Harp Lyre Base Wooden Oval Coffee Table Claw Feet,20000,Pre-Owned,,False,
61307 Brass and Iron Glass Top Modern Coffee Table Stand QUALITY,26500,Pre-Owned,,False,
Hekman Antique Mahogany Leather Top Coffee Table One Drawer Nice!,10000,Pre-Owned,,False,0
Vintage Mersman Coffee Table Large Round Solid Mahogany #7399 Pick Up Only,10999,,,False,0
1920s Antique French Louis XV Walnut Satinwood inlay & Marble top coffee table,140000,Refurbished,,False,
"Harden British Colonial Style Square Cherry Coffee, Coctail Table",79500,,,False,
RARE Old Gold Italian Floral Decorator Coffee Table Hollywood Regency Shipping👍,95000,,,False,
Brass Koi Coffee Side Table Hollywood Regency Midcentury Modern Vintage Fish,189999,,,False,0
Vintage 70s Maison Jansen Style Chrome Brass Glass Top Coffee Table w/ Hoof Legs,75000,,,False,0
Mid Century 1960s Gnarled Wood Coffee Table Glass Top,89500,,,False,
